"table_name","column_name","data_type"
"journal_entries","id","uuid"
"journal_entries","journal_num","character varying"
"journal_entries","tenant_id","uuid"
"journal_entries","company_id","uuid"
"journal_entries","journal_date","date"
"journal_entries","creation_date","date"
"journal_entries","module","character varying"
"journal_entries","description","text"
"journal_entries","status","character varying"
"journal_entries","total_dr","numeric"
"journal_entries","total_cr","numeric"
"journal_entries","user_name","character varying"
"journal_entries","created_by","uuid"
"journal_entries","created_at","timestamp without time zone"
"journal_entries","updated_by","uuid"
"journal_entries","updated_at","timestamp without time zone"
"journal_entry_lines","id","integer"
"journal_entry_lines","journal_id","uuid"
"journal_entry_lines","journal_num","character varying"
"journal_entry_lines","line_number","integer"
"journal_entry_lines","account_code","character varying"
"journal_entry_lines","debit","numeric"
"journal_entry_lines","credit","numeric"
"journal_entry_lines","description","text"
